"year","type","n","n_year","pct"
2004,"D.09_A.73_C.56",24,162,14.81
2004,"D.11_A.17_C.16",12,162,7.41
2004,"D.29_A.56_C.28",40,162,24.69
2004,"D.48_A.45_C.56",45,162,27.78
2004,"D.55_A.74_C.79",18,162,11.11
2004,"D.80_A.84_C.90",23,162,14.2
2005,"D.09_A.73_C.56",25,162,15.43
2005,"D.11_A.17_C.16",12,162,7.41
2005,"D.29_A.56_C.28",39,162,24.07
2005,"D.48_A.45_C.56",41,162,25.31
2005,"D.55_A.74_C.79",21,162,12.96
2005,"D.80_A.84_C.90",24,162,14.81
2006,"D.09_A.73_C.56",28,164,17.07
2006,"D.11_A.17_C.16",9,164,5.49
2006,"D.29_A.56_C.28",42,164,25.61
2006,"D.48_A.45_C.56",39,164,23.78
2006,"D.55_A.74_C.79",19,164,11.59
2006,"D.80_A.84_C.90",27,164,16.46
2007,"D.09_A.73_C.56",30,164,18.29
2007,"D.11_A.17_C.16",8,164,4.88
2007,"D.29_A.56_C.28",42,164,25.61
2007,"D.48_A.45_C.56",38,164,23.17
2007,"D.55_A.74_C.79",19,164,11.59
2007,"D.80_A.84_C.90",27,164,16.46
2008,"D.09_A.73_C.56",29,164,17.68
2008,"D.11_A.17_C.16",8,164,4.88
2008,"D.29_A.56_C.28",39,164,23.78
2008,"D.48_A.45_C.56",42,164,25.61
2008,"D.55_A.74_C.79",20,164,12.2
2008,"D.80_A.84_C.90",26,164,15.85
2009,"D.09_A.73_C.56",30,164,18.29
2009,"D.11_A.17_C.16",9,164,5.49
2009,"D.29_A.56_C.28",36,164,21.95
2009,"D.48_A.45_C.56",41,164,25
2009,"D.55_A.74_C.79",21,164,12.8
2009,"D.80_A.84_C.90",27,164,16.46
2010,"D.09_A.73_C.56",31,164,18.9
2010,"D.11_A.17_C.16",8,164,4.88
2010,"D.29_A.56_C.28",34,164,20.73
2010,"D.48_A.45_C.56",40,164,24.39
2010,"D.55_A.74_C.79",23,164,14.02
2010,"D.80_A.84_C.90",28,164,17.07
2011,"D.09_A.73_C.56",25,165,15.15
2011,"D.11_A.17_C.16",11,165,6.67
2011,"D.29_A.56_C.28",35,165,21.21
2011,"D.48_A.45_C.56",43,165,26.06
2011,"D.55_A.74_C.79",23,165,13.94
2011,"D.80_A.84_C.90",28,165,16.97
2012,"D.09_A.73_C.56",26,165,15.76
2012,"D.11_A.17_C.16",11,165,6.67
2012,"D.29_A.56_C.28",34,165,20.61
2012,"D.48_A.45_C.56",42,165,25.45
2012,"D.55_A.74_C.79",23,165,13.94
2012,"D.80_A.84_C.90",29,165,17.58
2013,"D.09_A.73_C.56",27,165,16.36
2013,"D.11_A.17_C.16",9,165,5.45
2013,"D.29_A.56_C.28",35,165,21.21
2013,"D.48_A.45_C.56",41,165,24.85
2013,"D.55_A.74_C.79",25,165,15.15
2013,"D.80_A.84_C.90",28,165,16.97
2014,"D.09_A.73_C.56",29,165,17.58
2014,"D.11_A.17_C.16",11,165,6.67
2014,"D.29_A.56_C.28",30,165,18.18
2014,"D.48_A.45_C.56",44,165,26.67
2014,"D.55_A.74_C.79",23,165,13.94
2014,"D.80_A.84_C.90",28,165,16.97
2015,"D.09_A.73_C.56",30,165,18.18
2015,"D.11_A.17_C.16",12,165,7.27
2015,"D.29_A.56_C.28",28,165,16.97
2015,"D.48_A.45_C.56",44,165,26.67
2015,"D.55_A.74_C.79",22,165,13.33
2015,"D.80_A.84_C.90",29,165,17.58
2016,"D.09_A.73_C.56",32,165,19.39
2016,"D.11_A.17_C.16",10,165,6.06
2016,"D.29_A.56_C.28",30,165,18.18
2016,"D.48_A.45_C.56",42,165,25.45
2016,"D.55_A.74_C.79",23,165,13.94
2016,"D.80_A.84_C.90",28,165,16.97
2017,"D.09_A.73_C.56",30,165,18.18
2017,"D.11_A.17_C.16",9,165,5.45
2017,"D.29_A.56_C.28",31,165,18.79
2017,"D.48_A.45_C.56",41,165,24.85
2017,"D.55_A.74_C.79",25,165,15.15
2017,"D.80_A.84_C.90",29,165,17.58
2018,"D.09_A.73_C.56",30,169,17.75
2018,"D.11_A.17_C.16",10,169,5.92
2018,"D.29_A.56_C.28",35,169,20.71
2018,"D.48_A.45_C.56",39,169,23.08
2018,"D.55_A.74_C.79",26,169,15.38
2018,"D.80_A.84_C.90",29,169,17.16
2019,"D.09_A.73_C.56",31,168,18.45
2019,"D.11_A.17_C.16",10,168,5.95
2019,"D.29_A.56_C.28",35,168,20.83
2019,"D.48_A.45_C.56",38,168,22.62
2019,"D.55_A.74_C.79",25,168,14.88
2019,"D.80_A.84_C.90",29,168,17.26
2020,"D.09_A.73_C.56",31,168,18.45
2020,"D.11_A.17_C.16",12,168,7.14
2020,"D.29_A.56_C.28",33,168,19.64
2020,"D.48_A.45_C.56",37,168,22.02
2020,"D.55_A.74_C.79",27,168,16.07
2020,"D.80_A.84_C.90",28,168,16.67
2021,"D.09_A.73_C.56",33,168,19.64
2021,"D.11_A.17_C.16",15,168,8.93
2021,"D.29_A.56_C.28",27,168,16.07
2021,"D.48_A.45_C.56",39,168,23.21
2021,"D.55_A.74_C.79",28,168,16.67
2021,"D.80_A.84_C.90",26,168,15.48
2022,"D.09_A.73_C.56",37,168,22.02
2022,"D.11_A.17_C.16",14,168,8.33
2022,"D.29_A.56_C.28",24,168,14.29
2022,"D.48_A.45_C.56",41,168,24.4
2022,"D.55_A.74_C.79",26,168,15.48
2022,"D.80_A.84_C.90",26,168,15.48
2023,"D.09_A.73_C.56",35,168,20.83
2023,"D.11_A.17_C.16",13,168,7.74
2023,"D.29_A.56_C.28",25,168,14.88
2023,"D.48_A.45_C.56",42,168,25
2023,"D.55_A.74_C.79",27,168,16.07
2023,"D.80_A.84_C.90",26,168,15.48
2024,"D.09_A.73_C.56",36,168,21.43
2024,"D.11_A.17_C.16",14,168,8.33
2024,"D.29_A.56_C.28",23,168,13.69
2024,"D.48_A.45_C.56",42,168,25
2024,"D.55_A.74_C.79",28,168,16.67
2024,"D.80_A.84_C.90",25,168,14.88
2025,"D.09_A.73_C.56",39,168,23.21
2025,"D.11_A.17_C.16",14,168,8.33
2025,"D.29_A.56_C.28",21,168,12.5
2025,"D.48_A.45_C.56",42,168,25
2025,"D.55_A.74_C.79",27,168,16.07
2025,"D.80_A.84_C.90",25,168,14.88
