"from_type","to_type","n"
"D.09_A.73_C.56","D.09_A.73_C.56",567
"D.09_A.73_C.56","D.11_A.17_C.16",2
"D.09_A.73_C.56","D.29_A.56_C.28",8
"D.09_A.73_C.56","D.48_A.45_C.56",12
"D.09_A.73_C.56","D.55_A.74_C.79",4
"D.11_A.17_C.16","D.09_A.73_C.56",1
"D.11_A.17_C.16","D.11_A.17_C.16",190
"D.11_A.17_C.16","D.29_A.56_C.28",21
"D.11_A.17_C.16","D.48_A.45_C.56",1
"D.29_A.56_C.28","D.09_A.73_C.56",19
"D.29_A.56_C.28","D.11_A.17_C.16",19
"D.29_A.56_C.28","D.29_A.56_C.28",621
"D.29_A.56_C.28","D.48_A.45_C.56",15
"D.48_A.45_C.56","D.09_A.73_C.56",13
"D.48_A.45_C.56","D.11_A.17_C.16",3
"D.48_A.45_C.56","D.29_A.56_C.28",4
"D.48_A.45_C.56","D.48_A.45_C.56",771
"D.48_A.45_C.56","D.55_A.74_C.79",27
"D.55_A.74_C.79","D.09_A.73_C.56",2
"D.55_A.74_C.79","D.48_A.45_C.56",17
"D.55_A.74_C.79","D.55_A.74_C.79",429
"D.55_A.74_C.79","D.80_A.84_C.90",16
"D.80_A.84_C.90","D.55_A.74_C.79",14
"D.80_A.84_C.90","D.80_A.84_C.90",531
